GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
movie-database-web-application,controller,SearchHistory,28,224,15,13,0,26,14,17,1,16
movie-database-web-application,controller,Query,41,277,28,20,0,30,23,19,0,18
movie-database-web-application,controller,SimpleCORSFilter,35,11,0,0,11,4,3,1,3,1
movie-database-web-application,controller,UserController,6,42,0,0,1,11,1,6,1,6
movie-database-web-application,controller,FavouriteController,6,27,0,0,1,8,1,5,1,5
movie-database-web-application,controller,User,29,229,19,15,0,25,16,17,0,16
movie-database-web-application,controller,ReviewController,6,27,0,0,1,8,1,5,1,5
movie-database-web-application,controller,Review,36,268,24,18,0,29,20,19,0,18
movie-database-web-application,controller,SmsMessage,29,230,19,15,0,26,16,17,0,16
movie-database-web-application,controller,SmsMessageController,38,40,0,0,7,9,3,5,3,5
movie-database-web-application,controller,QueryController,6,47,0,0,1,11,1,6,1,6
movie-database-web-application,controller,Application.new WebMvcConfigurerAdapter() {...},0,18,0,0,0,3,0,2,0,2
movie-database-web-application,controller,SearchHistoryController,6,43,0,0,1,11,1,6,1,6
movie-database-web-application,controller,Application,5,9,0,0,2,3,1,3,1,3
movie-database-web-application,controller,Favourite,35,272,23,19,0,30,19,20,0,18
movie-database-web-application,controller,TextMessage,24,0,0,0,6,0,2,0,2,0
movie-database-web-application,model,Genre,118,0,16,0,9,0,18,0,10,0
